20150601 053900;1.091240;1.091370;1.091160;1.091350;0
20150601 054000;1.091360;1.091780;1.091270;1.091730;0
20150601 054100;1.091720;1.092170;1.091660;1.092140;0
20150601 054200;1.092130;1.092130;1.091810;1.092020;0
20150601 054300;1.092020;1.092060;1.091720;1.092060;0
20150601 054400;1.092040;1.092250;1.091980;1.092220;0
20150601 054500;1.092240;1.092270;1.092020;1.092030;0
20150601 054600;1.092040;1.092070;1.091620;1.091650;0
20150601 054700;1.091640;1.091940;1.091610;1.091940;0
20150601 054800;1.091890;1.091890;1.091620;1.091630;0
20150601 054900;1.091640;1.091640;1.091450;1.091480;0
20150601 055000;1.091470;1.091570;1.091470;1.091560;0
20150601 055100;1.091600;1.091630;1.091540;1.091620;0
20150601 055200;1.091630;1.092020;1.091560;1.091870;0
20150601 055300;1.091870;1.091870;1.091650;1.091850;0
20150601 055400;1.091850;1.091900;1.091800;1.091820;0
20150601 055500;1.091810;1.092220;1.091790;1.092170;0
20150601 055600;1.092170;1.092270;1.092040;1.092170;0
20150601 055700;1.092160;1.092180;1.092040;1.092160;0
20150601 055800;1.092160;1.092360;1.092140;1.092160;0
20150601 055900;1.092160;1.092240;1.092040;1.092050;0
20150601 060000;1.092060;1.092080;1.091730;1.091750;0
20150601 060100;1.091740;1.091870;1.091580;1.091760;0
20150601 060200;1.091750;1.091870;1.091560;1.091860;0
20150601 060300;1.091860;1.092040;1.091650;1.091990;0
20150601 060400;1.091990;1.092060;1.091630;1.091630;0
20150601 060500;1.091640;1.091750;1.091550;1.091650;0
20150601 060600;1.091660;1.091670;1.091540;1.091550;0
20150601 060700;1.091550;1.091590;1.091400;1.091400;0
20150601 060800;1.091390;1.091390;1.091040;1.091050;0
20150601 060900;1.091060;1.091250;1.090860;1.090960;0
20150601 061000;1.090970;1.090970;1.090730;1.090820;0
20150601 061100;1.090870;1.091160;1.090860;1.091100;0
20150601 061200;1.091110;1.091110;1.090850;1.090880;0
20150601 061300;1.090870;1.090960;1.090680;1.090960;0
20150601 061400;1.090950;1.090950;1.090490;1.090520;0
20150601 061500;1.090520;1.090730;1.090420;1.090650;0
20150601 061600;1.090650;1.090680;1.090470;1.090560;0
